teks,label,panjang_teks,is_noise,is_outlier
"Bakteri adalah sel tunggal yang dapat bertahan hidup sendiri, di dalam atau luar tubuh. Virus menyebabkan infeksi dengan cara masuk dan berkembang biak di dalam sel sehat inangnya",0,179,False,False
Proklamasi Kemerdekaan Indonesia pada 17 Agustus 1945 adalah momen bersejarah yang menandai berakhirnya penjajahan dan lahirnya negara Indonesia yang merdeka.,0,158,False,False
Kecerdasan adalah kemampuan untuk menerapkan pegetahuan yang sudah ada untuk memecahkan berbagai masalah.,0,105,False,False
Kecerdasan adalah kemampuan untuk menerapkan pegetahuan yang sudah ada untuk memecahkan berbagai masalah.,0,105,False,False
Saya tidak pernah mengalami atau mendengar nya,0,46,False,False
"Manusia adalah makhluk hidup yang termasuk dalam kingdom Animalia, filum Chordata, dan kelas Mammalia. Manusia juga dikenal sebagai Homo sapiens, yang merupakan spesies yang paling cerdas dan memiliki kemampuan berpikir, berbicara, dan berinteraksi dengan lingkungan sekitar",0,274,False,False
"Berikut adalah cara membedakan antara kata benda, kata kerja, dan kata sifat:

Kata Benda
Kata benda adalah kata yang mengacu pada orang, tempat, benda, atau konsep. Contoh:

- ""Buku"" (kata benda yang mengacu pada benda)

Kata Kerja
Kata kerja adalah kata yang menggambarkan aksi, kegiatan, atau keadaan. Contoh:


- ""Belajar"" (kata kerja yang menggambarkan kegiatan)

Kata Sifat
Kata sifat adalah kata yang menggambarkan sifat, keadaan, atau ciri-ciri dari kata benda. Contoh:

- ""Baik"" (kata sifat yang menggambarkan sifat)",0,525,False,False
"Dalam ruangan hampa udara, tidak ada udara yang dapat menyebabkan gesekan atau perlawanan terhadap benda yang jatuh. Oleh karena itu, baik batu maupun kertas akan jatuh dengan percepatan yang sama, yaitu percepatan gravitasi (g = 9,8 m/s^2).",0,241,False,False
"- *pH*: Larutan asam memiliki pH lebih rendah dari 7, sedangkan larutan basa memiliki pH lebih tinggi dari 7.
- *Ion*: Larutan asam memiliki konsentrasi ion hidrogen (H+) yang lebih tinggi, sedangkan larutan basa memiliki konsentrasi ion hidroksida (OH-) yang lebih tinggi.
- *Sifat Kimia*: Larutan asam dan basa memiliki sifat kimia yang berbeda, seperti korosifitas dan rasa.",0,377,False,False
"Virus: Tidak memiliki metabolisme sendiri dan bergantung pada sel inang untuk melakukan proses metabolisme.
Bakteri: memiliki metabolisme sendiri dan dapat melakukan proses seperti fotosintesis, respirasi, dan fermentasi",0,220,False,False
"Empati dan simpati adalah dua konsep yang terkait dengan perasaan dan reaksi terhadap orang lain, tetapi memiliki perbedaan yang signifikan.

Empati
Empati adalah kemampuan untuk memahami dan merasakan perasaan orang lain, seolah-olah kita berada di posisi mereka. Empati melibatkan proses mental dan emosional yang lebih dalam, di mana kita berusaha untuk memahami pengalaman dan perasaan orang lain.

Contoh:

- Seorang teman kehilangan pekerjaannya. Kita merasa sedih dan kecewa, serta berusaha untuk memahami perasaan mereka. Kita mungkin bertanya, ""Apa yang bisa saya lakukan untuk membantu?"" atau ""Bagaimana perasaanmu sekarang?""
Simpati
Simpati adalah perasaan kasihan atau belas kasihan terhadap orang lain yang mengalami kesulitan atau penderitaan. Simpati tidak melibatkan proses mental dan emosional yang sama dengan empati, tetapi lebih merupakan reaksi emosional yang spontan.

Contoh:

- Seorang teman mengalami kecelakaan dan terluka. Kita merasa kasihan dan mengatakan, ""Oh, saya sangat kasihan padamu"" atau ""Saya harap kamu cepat sembuh.""",0,1055,False,True
"Wilayah Indonesia terletak pada

 *Koordinat Geografis*: 6Â° LU - 11Â° LS dan 95Â° BT - 141Â° BT.",0,97,False,False
"Kecerdasan adalah kemampuan untuk memproses informasi, memahami konsep,dan menyelesaikan masalah dengan efektif",0,111,False,False
Saya tidak pernah mengalami atau mendengar nya,0,46,False,False
"Manusia adalah makhluk hidup yang termasuk dalam kingdom Animalia, filum Chordata, dan kelas Mammalia. Manusia juga dikenal sebagai Homo sapiens, yang merupakan spesies yang paling cerdas dan memiliki kemampuan berpikir, berbicara, dan berinteraksi dengan lingkungan sekitar",0,274,False,False
